country,st25q01,st62q11,N,WTD_N,PCT,SE(PCT),MEAN,SE(MEAN)
Netherlands,Other language,Never heard of it,120,5645.880799999999,78.90916110117753,3.353511725524424,471.23793528639106,8.781057088959349
Netherlands,Other language,Heard of it,31,1509.0308999999997,21.09083889882247,3.3535117255244247,502.58768070685744,23.280188080976245
New Zealand,Language of the test,Never heard of it,1524,18832.8311,65.87418802899091,0.9773095250137057,503.42586700411135,3.1984403785629376
New Zealand,Language of the test,Heard of it,782,9756.259199999999,34.12581197100909,0.9773095250137023,519.1969820817815,3.9667744529433313
New Zealand,Other language,Never heard of it,225,2926.3415999999997,53.44955214284671,3.2264108511487843,478.8741348981738,8.173545992897848
New Zealand,Other language,Heard of it,198,2548.6184,46.5504478571533,3.2264108511487852,487.65394842600483,11.737853410061915
Perm(Russian Federation),Language of the test,Never heard of it,693,10755.799599999998,61.54435727977569,1.7089874142095915,493.3192138984896,6.6690623992147975
Perm(Russian Federation),Language of the test,Heard of it,421,6720.7004,38.4556427202243,1.7089874142095938,477.1656201377106,5.347486300526126
Perm(Russian Federation),Other language,Never heard of it,8,149.6026,28.989302435717917,9.217990415131677,445.72575317640184,21.5871748401036
Perm(Russian Federation),Other language,Heard of it,21,366.4588,71.01069756428208,9.217990415131675,458.9835935157512,12.662920239771758
Peru,Language of the test,Never heard of it,1084,75223.67159999999,33.36058434524081,1.0703470995277027,376.36930347677924,4.582973273507101
Peru,Language of the test,Heard of it,2171,150263.001,66.63941565475918,1.0703470995277056,385.51956170915724,3.7074733303400222
Peru,Other language,Never heard of it,76,5516.631299999999,36.200865589900346,4.080289590722378,286.6821213293838,12.47294308350726
Peru,Other language,Heard of it,137,9722.317299999999,63.799134410099654,4.0802895907223755,312.71417327222184,9.212014289586078
Poland,Language of the test,Never heard of it,1631,133542.28949999998,55.0060599253423,1.103001199262045,526.824641999838,3.954881188900381
Poland,Language of the test,Heard of it,1319,109235.12389999999,44.99394007465771,1.103001199262044,508.4477736693137,4.233303698076945
Poland,Other language,Never heard of it,13,1186.8994999999998,50.41903379011239,11.012907004188623,502.2276634614319,42.511828186350314
Poland,Other language,Heard of it,16,1167.1707999999999,49.58096620988762,11.012907004188625,540.8234694128054,31.57178003193194
Portugal,Language of the test,Never heard of it,1586,26556.2289,45.927411749555375,1.0993805170750084,504.8980204624668,4.281837662059357
Portugal,Language of the test,Heard of it,1855,31265.9472,54.07258825044463,1.0993805170750062,480.800995999705,4.439181141695289
Portugal,Other language,Never heard of it,42,577.4678,38.525280764885885,5.730817451539927,462.7146880388308,19.97551314375971
Portugal,Other language,Heard of it,70,921.4643,61.474719235114115,5.730817451539927,493.1129197080319,17.548949407707106
Qatar,Language of the test,Never heard of it,1612,1616.3106,44.354382468545175,0.9438953186964858,369.5636567051088,2.660729678968511
Qatar,Language of the test,Heard of it,2023,2027.7726,55.645617531454825,0.943895318696487,357.5107853406898,2.4259966934739747
Qatar,Other language,Never heard of it,1040,1045.1005,43.39646545072466,1.0880308404659593,433.9941463629517,3.2071117546065104
Qatar,Other language,Heard of it,1357,1363.1613,56.603534549275324,1.088030840465959,409.87426480007935,2.2194789992290627
